"","state","year","barrels","type"
"371","NH",2018,38366.97,"On Premises"
"372","NH",2019,50049.94,"On Premises"
"373","NJ",2008,4958.4,"On Premises"
"374","NJ",2009,4944.87,"On Premises"
"375","NJ",2010,5642.15,"On Premises"
"376","NJ",2011,5500.47,"On Premises"
"377","NJ",2012,5385.1,"On Premises"
"378","NJ",2013,5535.97,"On Premises"
"379","NJ",2014,5907.92,"On Premises"
"380","NJ",2015,19453.22,"On Premises"
"381","NJ",2016,35059.6,"On Premises"
"382","NJ",2017,51339.57,"On Premises"
"383","NJ",2018,59781.77,"On Premises"
"384","NJ",2019,81325.78,"On Premises"
"385","NM",2008,7263.27,"On Premises"
"386","NM",2009,8925.99,"On Premises"
"387","NM",2010,12544.54,"On Premises"
"388","NM",2011,13349.8,"On Premises"
"389","NM",2012,13875.29,"On Premises"
"390","NM",2013,13652.7,"On Premises"
"391","NM",2014,13396.75,"On Premises"
"392","NM",2015,14181.52,"On Premises"
"393","NM",2016,14793.89,"On Premises"
"394","NM",2017,18654.17,"On Premises"
"395","NM",2018,21234.68,"On Premises"
"396","NM",2019,25948.46,"On Premises"
"397","NV",2008,15454.08,"On Premises"
"398","NV",2009,14003.16,"On Premises"
"399","NV",2010,15618.93,"On Premises"
"400","NV",2011,15819.59,"On Premises"
"401","NV",2012,15331.77,"On Premises"
"402","NV",2013,14612.82,"On Premises"
"403","NV",2014,16234.04,"On Premises"
"404","NV",2015,21635.99,"On Premises"
"405","NV",2016,17457.76,"On Premises"
"406","NV",2017,14372.05,"On Premises"
"407","NV",2018,16923.86,"On Premises"
"408","NV",2019,21115.35,"On Premises"
"409","NY",2008,12354.42,"On Premises"
"410","NY",2009,12034.5,"On Premises"
"411","NY",2010,11614.3,"On Premises"
"412","NY",2011,14572,"On Premises"
"413","NY",2012,18110.04,"On Premises"
"414","NY",2013,24800.93,"On Premises"
"415","NY",2014,38325.34,"On Premises"
"416","NY",2015,44491.79,"On Premises"
"417","NY",2016,57825.54,"On Premises"
"418","NY",2017,78958.19,"On Premises"
"419","NY",2018,112324.25,"On Premises"
"420","NY",2019,150616.79,"On Premises"
"421","OH",2008,8070.58,"On Premises"
"422","OH",2009,7718.23,"On Premises"
"423","OH",2010,8426,"On Premises"
"424","OH",2011,9229.08,"On Premises"
"425","OH",2012,11293.61,"On Premises"
"426","OH",2013,11632.86,"On Premises"
"427","OH",2014,12905.42,"On Premises"
"428","OH",2015,30296.19,"On Premises"
"429","OH",2016,50547.69,"On Premises"
"430","OH",2017,79394.13,"On Premises"
"431","OH",2018,99966.84,"On Premises"
"432","OH",2019,132029.68,"On Premises"
"433","OK",2008,3115.11,"On Premises"
"434","OK",2009,2621.87,"On Premises"
"435","OK",2010,2580.03,"On Premises"
"436","OK",2011,2354.06,"On Premises"
"437","OK",2012,2198.78,"On Premises"
"438","OK",2013,2381.47,"On Premises"
"439","OK",2014,2459.74,"On Premises"
"440","OK",2015,9930.51,"On Premises"
"441","OK",2016,9525.21,"On Premises"
"442","OK",2017,10922.26,"On Premises"
"443","OK",2018,16905.78,"On Premises"
"444","OK",2019,21128.75,"On Premises"
"445","OR",2008,20091.2,"On Premises"
"446","OR",2009,23391.44,"On Premises"
"447","OR",2010,27650,"On Premises"
"448","OR",2011,32250.56,"On Premises"
"449","OR",2012,34755.42,"On Premises"
"450","OR",2013,37006.39,"On Premises"
"451","OR",2014,33472.7,"On Premises"
"452","OR",2015,88028.35,"On Premises"
"453","OR",2016,110352.94,"On Premises"
"454","OR",2017,131075.08,"On Premises"
"455","OR",2018,121831.69,"On Premises"
"456","OR",2019,122000.26,"On Premises"
"457","PA",2008,20690.29,"On Premises"
"458","PA",2009,24100.19,"On Premises"
"459","PA",2010,26916.15,"On Premises"
"460","PA",2011,32025.24,"On Premises"
"461","PA",2012,33773.09,"On Premises"
"462","PA",2013,31943.35,"On Premises"
"463","PA",2014,30228.3,"On Premises"
"464","PA",2015,44275.02,"On Premises"
